SECID;SHORTNAME;NAME;TYPENAME;ISIN;REGNUMBER;LISTLEVEL;FACEVALUE;FACEUNIT;PRIMARY_BOARDID;PRIMARY_BOARD_TITLE;ISSUEDATE;EMITENTNAME;INN;LOTSIZE
SBER;Сбербанк;Сбербанк России ПАО ао;Акции обыкновенные;RU0009029540;10301481B;1;3;RUB;TQBR;Т+: Акции и ДР - безадрес.;20.07.2007;"Публичное акционерное общество ""Сбербанк России""";7707083893;10
SBERP;Сбербанк-п;Сбербанк России ПАО ап;Акции привилегированные;RU0009029557;20301481B;1;3;RUB;TQBR;Т+: Акции и ДР - безадрес.;20.07.2007;"Публичное акционерное общество ""Сбербанк России""";7707083893;10
SELG;Селигдар;"ПАО ""Селигдар""  ао";Акции обыкновенные;RU000A0JPR50;1-01-32694-F;2;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;22.09.2011;"Публичное акционерное общество ""Селигдар""";1402047184;100
SELGP;Селигдар-п;"ПАО ""Селигдар"" ап";Акции привилегированные;RU000A0JS2J5;2-01-32694-F;2;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;11.05.2012;"Публичное акционерное общество ""Селигдар""";1402047184;100
SFIN;САФМАР ао;САФМАР Фин.Инвестиции ПАО ао;Акции обыкновенные;RU000A0JVW89;1-02-56453-P;1;0,67;RUB;TQBR;Т+: Акции и ДР - безадрес.;04.12.2015;"Публичное акционерное общество ""САФМАР Финансовые инвестиции""";6164077483;10
SIBN;Газпрнефть;Газпром нефть ПАО ао;Акции обыкновенные;RU0009062467;1-01-00146-A;3;0,0016;RUB;TQBR;Т+: Акции и ДР - безадрес.;10.07.2003;"Публичное акционерное общество ""Газпром нефть""";5504036333;10
SLEN;Сахэнер ао;"ПАО ""Сахалинэнерго"" ао";Акции обыкновенные;RU0009280465;1-03-00272-A;3;10;RUB;TQBR;Т+: Акции и ДР - безадрес.;06.02.2017;"Публичное акционерное общество энергетики и электрификации ""Сахалинэнерго""";6500000024;100
SNGS;Сургнфгз;Сургутнефтегаз ПАО акции об.;Акции обыкновенные;RU0008926258;1-01-00155-A;2;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;11.01.2005;"Публичное акционерное общество ""Сургутнефтегаз""";8602060555;100
SNGSP;Сургнфгз-п;Сургутнефтегаз ПАО ап;Акции привилегированные;RU0009029524;2-01-00155-A;2;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;11.01.2005;"Публичное акционерное общество ""Сургутнефтегаз""";8602060555;100
STSB;СтаврЭнСб;Ставрополэнергосбыт ПАО ао;Акции обыкновенные;RU000A0ET1W4;1-01-50119-A;3;0,0048;RUB;TQBR;Т+: Акции и ДР - безадрес.;28.03.2008;"Публичное акционерное общество ""Ставропольэнергосбыт""";2626033550;1000
STSBP;СтаврЭнСбп;Ставрополэнергосбыт ПАО ап;Акции привилегированные;RU000A0ET1Z7;2-01-50119-A;3;0,0048;RUB;TQBR;Т+: Акции и ДР - безадрес.;28.03.2008;"Публичное акционерное общество ""Ставропольэнергосбыт""";2626033550;1000
SVAV;СОЛЛЕРС;"ОАО ""СОЛЛЕРС"" ао";Акции обыкновенные;RU0006914488;1-01-02461-D;2;12,5;RUB;TQBR;Т+: Акции и ДР - безадрес.;22.04.2005;"Публичное акционерное общество ""СОЛЛЕРС""";3528079131;10
T-RM;ATT;AT&T Inc.;Иностранные акции;US00206R1023;;3;1;USD;FQBR;Т+ Ин.Акции и ДР - безадрес.;17.09.2018;ATT Inc.;;1
TASB;ТамбЭнСб;"ао""Тамбов.энергсбыт.комп.""ПАО";Акции обыкновенные;RU000A0D8NG8;1-01-65100-D;3;0,02;RUB;TQBR;Т+: Акции и ДР - безадрес.;08.08.2005;"Публичное акционерное общество ""Тамбовская энергосбытовая компания""";6829010210;10000
TASBP;ТамбЭнСб-п;"ап""Тамбов.энергсбыт.комп.""ПАО";Акции привилегированные;RU000A0D8NH6;2-01-65100-D;3;0,02;RUB;TQBR;Т+: Акции и ДР - безадрес.;08.08.2005;"Публичное акционерное общество ""Тамбовская энергосбытовая компания""";6829010210;10000
TATN;Татнфт 3ао;"ПАО ""Татнефть"" ао";Акции обыкновенные;RU0009033591;1-03-00161-A;1;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;11.01.2005;"Публичное акционерное общество ""Татнефть"" имени В.Д. Шашина";1644003838;1
TATNP;Татнфт 3ап;"ПАО ""Татнефть"" ап 3 вып.";Акции привилегированные;RU0006944147;2-03-00161-A;1;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;11.01.2005;"Публичное акционерное общество ""Татнефть"" имени В.Д. Шашина";1644003838;1
TCSG;TCS-гдр;ГДР TCS Group Holding ORD SHS;DR на иностранные акции;US87238U2033;;1;0;USD;TQBR;Т+: Акции и ДР - безадрес.;28.10.2019;JPMorgan Chase Bank, National Association;4172;1
TGKA;ТГК-1;"ао ПАО ""ТГК-1""";Акции обыкновенные;RU000A0JNUD0;1-01-03388-D;1;0,01;RUB;TQBR;Т+: Акции и ДР - безадрес.;26.03.2007;"Публичное акционерное общество ""Территориальная генерирующая компания №1""";7841312071;100000
TGKB;ТГК-2;"ао ПАО ""ТГК-2""";Акции обыкновенные;RU000A0JNGS7;1-01-10420-A;3;0,01;RUB;TQBR;Т+: Акции и ДР - безадрес.;20.10.2006;"Публичное акционерное общество ""Территориальная генерирующая компания №2""";7606053324;1000000
TGKBP;ТГК-2 ап;"ап ПАО ""ТГК-2""";Акции привилегированные;RU000A0JNGT5;2-01-10420-A;3;0,01;RUB;TQBR;Т+: Акции и ДР - безадрес.;30.01.2007;"Публичное акционерное общество ""Территориальная генерирующая компания №2""";7606053324;1000000
TGKD;Квадра;Квадра ПАО ао;Акции обыкновенные;RU000A0JNMZ0;1-01-43069-A;3;0,01;RUB;TQBR;Т+: Акции и ДР - безадрес.;02.03.2007;"Публичное акционерное общество ""Квадра - Генерирующая компания""";6829012680;100000
TGKDP;Квадра-п;Квадра ПАО ап;Акции привилегированные;RU000A0JNNB9;2-01-43069-A;3;0,01;RUB;TQBR;Т+: Акции и ДР - безадрес.;27.03.2007;"Публичное акционерное общество ""Квадра - Генерирующая компания""";6829012680;100000
TGKN;ТГК-14;"ао ПАО ""ТГК-14""";Акции обыкновенные;RU000A0H1ES3;1-01-22451-F;2;0,001;RUB;TQBR;Т+: Акции и ДР - безадрес.;25.01.2007;"Публичное акционерное общество ""Территориальная генерирующая компания № 14""";7534018889;1000000
TNSE;ТНСэнрг ао;"ПАО ГК ""ТНС энерго"" ао";Акции обыкновенные;RU000A0JUCQ5;1-01-15521-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;17.06.2015;"Публичное акционерное общество Группа компаний ""ТНС энерго""";7705541227;1
TORS;ТРК ао;"ао ""Томская распределит.комп.""";Акции обыкновенные;RU000A0ETZF2;1-01-50128-A;3;0,4916;RUB;TQBR;Т+: Акции и ДР - безадрес.;28.12.2005;"Публичное акционерное общество ""Томская распределительная компания""";7017114672;10000
TORSP;ТРК ап;"ап ""Томская распределит.комп.""";Акции привилегированные;RU000A0ETZM8;2-01-50128-A;3;0,4916;RUB;TQBR;Т+: Акции и ДР - безадрес.;28.12.2005;"Публичное акционерное общество ""Томская распределительная компания""";7017114672;10000
TRCN;ТрансК ао;ТрансКонтейнер ПАО ао;Акции обыкновенные;RU000A0JPRX9;1-01-55194-E;3;1000;RUB;TQBR;Т+: Акции и ДР - безадрес.;12.11.2010;"Публичное акционерное общество ""Центр по перевозке грузов в контейнерах ""ТрансКонтейнер""";7708591995;1
TRFM;ТрансФ ао;ПАО ТрансФин-М ао;Акции обыкновенные;RU000A0JUGP8;1-01-50156-A;3;0,1;RUB;TQBR;Т+: Акции и ДР - безадрес.;15.08.2018;"Публичное акционерное общество ""ТрансФин-М""";7708797192;10000
TRMK;ТМК ао;ПАО ТМК;Акции обыкновенные;RU000A0B6NK6;1-01-29031-H;1;10;RUB;TQBR;Т+: Акции и ДР - безадрес.;10.04.2007;"Публичное акционерное общество ""Трубная Металлургическая Компания""";7710373095;10
TRNFP;Транснф ап;Транснефть ПАО акц.пр.;Акции привилегированные;RU0009091573;2-01-00206-A;1;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;14.01.2008;"Публичное акционерное общество ""Транснефть""";7706061801;1
TTLK;Таттел. ао;"""Таттелеком"" ПАО ао";Акции обыкновенные;RU000A0HM5C1;1-02-50049-A;3;0,1;RUB;TQBR;Т+: Акции и ДР - безадрес.;21.03.2007;"Публичное акционерное общество ""Таттелеком""";1681000024;10000
TUZA;ТЗА ао;Туймаз. завод автобетоновозов;Акции обыкновенные;RU000A0HL7A2;1-01-30455-D;3;10;RUB;TQBR;Т+: Акции и ДР - безадрес.;28.08.2008;"Публичное акционерное общество ""Туймазинский завод автобетоновозов""";269008334;10
TWTR-RM;Twitter;Twitter, Inc.;Иностранные акции;US90184L1026;;3;1,00E-05;USD;FQBR;Т+ Ин.Акции и ДР - безадрес.;21.05.2018;Twitter, Inc.;;1
UCSS;ОКС ао;ПАО ОКС ао;Акции обыкновенные;RU000A0JTQK0;1-01-15296-A;3;1000;RUB;TQBR;Т+: Акции и ДР - безадрес.;14.05.2013;"Публичное акционерное общество ""Объединенные Кредитные Системы""";7708776756;1
UKUZ;ЮжКузб. ао;Южный Кузбасс ПАО ао;Акции обыкновенные;RU0005294775;1-02-10591-F;3;0,04;RUB;TQBR;Т+: Акции и ДР - безадрес.;28.08.2008;"Публичное акционерное общество ""Угольная компания ""Южный Кузбасс""";4214000608;1
UNAC;iАвиастКао;Об.авиастр.корп. ПАО ао;Акции обыкновенные;RU000A0JPLZ7;1-02-55306-E;3;0,86;RUB;TQBR;Т+: Акции и ДР - безадрес.;17.09.2013;"Публичное акционерное общество ""Объединенная авиастроительная корпорация""";7708619320;1000
UNKL;ЮУНК ао;Южно-Уральский никел. комб. ао;Акции обыкновенные;RU0004887991;1-01-00197-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;20.04.2012;"Публичное акционерное общество ""Южно-Уральский никелевый комбинат""";5613000143;1
UPRO;Юнипро ао;Юнипро ПАО ао;Акции обыкновенные;RU000A0JNGA5;1-02-65104-D;1;0,4;RUB;TQBR;Т+: Акции и ДР - безадрес.;24.05.2007;"Публичное акционерное общество ""Юнипро""";8602067092;1000
URKA;Уркалий-ао;Уралкалий ПАО ао;Акции обыкновенные;RU0007661302;1-01-00296-A;3;0,5;RUB;TQBR;Т+: Акции и ДР - безадрес.;07.11.2007;"Публичное акционерное общество ""Уралкалий""";5911029807;10
URKZ;УрКузница;"ПАО ""Уральская кузница"" ао";Акции обыкновенные;RU000A0JPFY2;1-01-32341-D;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;11.05.2012;"Публичное акционерное общество ""Уральская кузница""";7420000133;1
USBN;УралСиб ао;БАНК УРАЛСИБ ПАО ао;Акции обыкновенные;RU0006929536;10200030B;3;0,1;RUB;TQBR;Т+: Акции и ДР - безадрес.;14.12.2011;"Публичное акционерное общество ""БАНК УРАЛСИБ""";274062111;10000
UTAR;ЮТэйр ао;"Авиакомания ""ЮТэйр"" (ПАО) ао";Акции обыкновенные;RU0007661385;1-01-00077-F;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;11.01.2005;"Публичное акционерное общество ""Авиакомпания ""ЮТэйр""";7204002873;100
UWGN;ОВК ао;ПАО НПК ОВК ао;Акции обыкновенные;RU000A0JVBT9;1-01-82031-H;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;29.04.2015;"Публичное акционерное общество ""Научно-производственная корпорация ""Объединенная Вагонная Компания""";7705522866;1
V-RM;VISA;Visa Inc.;Иностранные акции;US92826C8394;;3;0,0001;USD;FQBR;Т+ Ин.Акции и ДР - безадрес.;17.09.2018;Visa Inc.;;1
VGSB;ВолгЭнСб;"""Волгоград.энергосбыткомп"" ПАО";Акции обыкновенные;RU000A0D8L73;1-01-65103-D;3;0,12;RUB;TQBR;Т+: Акции и ДР - безадрес.;16.09.2005;"Публичное акционерное общество ""Волгоградэнергосбыт""";3445071523;1000
VGSBP;ВолгЭнСб-п;"""Волгоград.энергосбыткомп"" ПАО";Акции привилегированные;RU000A0D8L57;2-01-65103-D;3;0,12;RUB;TQBR;Т+: Акции и ДР - безадрес.;16.09.2005;"Публичное акционерное общество ""Волгоградэнергосбыт""";3445071523;1000
VJGZ;Варьеган;Варьеганнефтегаз ПАО ао;Акции обыкновенные;RU0009046460;1-01-00017-A;3;0,1;RUB;TQBR;Т+: Акции и ДР - безадрес.;14.12.2011;"Публичное акционерное общество ""Варьеганнефтегаз""";8609000160;1
VJGZP;Варьеган-п;Варьеганнефтегаз ПАО ап;Акции привилегированные;RU0007964789;2-01-00017-A;3;0,1;RUB;TQBR;Т+: Акции и ДР - безадрес.;14.12.2011;"Публичное акционерное общество ""Варьеганнефтегаз""";8609000160;10
VLHZ;ВХЗ-ао;Владимирский химич.з-д(ПАО) ао;Акции обыкновенные;RU0007984761;1-02-04847-A;3;20;RUB;TQBR;Т+: Акции и ДР - безадрес.;12.07.2006;"Публичное акционерное общество ""Владимирский химический завод""";3302000669;10
VRSB;ТНСэнВорон;ТНС энерго Воронеж ПАО ао;Акции обыкновенные;RU000A0DPG67;1-01-55029-E;3;0,4;RUB;TQBR;Т+: Акции и ДР - безадрес.;14.10.2005;"Публичное акционерное общество ""ТНС энерго Воронеж""";3663050467;100
VRSBP;ТНСэнВор-п;ТНС энерго Воронеж ПАО ап;Акции привилегированные;RU000A0DPG75;2-01-55029-E;3;0,4;RUB;TQBR;Т+: Акции и ДР - безадрес.;14.10.2005;"Публичное акционерное общество ""ТНС энерго Воронеж""";3663050467;100
VSMO;ВСМПО-АВСМ;Корп. ВСМПО-АВИСМА (ПАО) ао;Акции обыкновенные;RU0009100291;1-01-30202-D;2;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;11.11.2004;"Публичное акционерное общество ""Корпорация ВСМПО-АВИСМА""";6607000556;1
VSYD;ВыбСудЗ ао;Выборгский Суд.Завод ПАО ао;Акции обыкновенные;RU0006334372;1-01-02203-D;3;0,5;RUB;TQBR;Т+: Акции и ДР - безадрес.;25.09.2012;"Публичное акционерное общество ""Выборгский судостроительный завод""";4704012874;1
VSYDP;ВыбСудЗ ап;Выборгский Суд.Завод ПАО ап;Акции привилегированные;RU0006334380;2-01-02203-D;3;0,5;RUB;TQBR;Т+: Акции и ДР - безадрес.;25.09.2012;"Публичное акционерное общество ""Выборгский судостроительный завод""";4704012874;1
VTBR;ВТБ ао;ао ПАО Банк ВТБ;Акции обыкновенные;RU000A0JP5V6;10401000B;1;0,01;RUB;TQBR;Т+: Акции и ДР - безадрес.;28.05.2007;Банк ВТБ (публичное акционерное общество);7702070139;10000
VZRZ;Возрожд-ао;"Банк ""Возрождение""-ао";Акции обыкновенные;RU0009084214;10101439B;3;10;RUB;TQBR;Т+: Акции и ДР - безадрес.;11.01.2005;"Публичное акционерное общество Банк ""Возрождение""";5000001042;1
VZRZP;Возрожд-п;"Банк ""Возрождение"" - ап";Акции привилегированные;RU0009100127;20201439B;3;10;RUB;TQBR;Т+: Акции и ДР - безадрес.;11.01.2005;"Публичное акционерное общество Банк ""Возрождение""";5000001042;10
WTCM;ЦМТ ао;"""Центр междун. торговли""ПАО ао";Акции обыкновенные;RU0008137070;1-01-01837-A;2;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;27.09.2007;"Публичное акционерное общество ""Центр международной торговли""";7703034574;100
WTCMP;ЦМТ ап;"""Центр междун. торговли""ПАО ап";Акции привилегированные;RU0008137088;2-01-01837-A;2;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;27.09.2007;"Публичное акционерное общество ""Центр международной торговли""";7703034574;100
XOM-RM;ExxonMobil;Exxon Mobil Corporation;Иностранные акции;US30231G1022;;3;0;USD;FQBR;Т+ Ин.Акции и ДР - безадрес.;17.09.2018;Exxon Mobil Corporation;;1
YAKG;ЯТЭК ао;Якутская топл.-энерг. комп. ао;Акции обыкновенные;RU0007796819;1-01-20510-F;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;09.12.2011;"Публичное акционерное общество ""Якутская топливно-энергетическая компания""";1435032049;100
YKEN;Якутскэнрг;"АК ""Якутскэнерго"" (ПАО) ао";Акции обыкновенные;RU0009257075;1-01-00304-A;3;2,22;RUB;TQBR;Т+: Акции и ДР - безадрес.;02.12.2004;"Публичное акционерное общество ""Якутскэнерго""";1435028701;10000
YKENP;Якутскэн-п;"АК ""Якутскэнерго"" (ПАО) ап";Акции привилегированные;RU0007796827;2-01-00304-A;3;2,22;RUB;TQBR;Т+: Акции и ДР - безадрес.;17.07.2008;"Публичное акционерное общество ""Якутскэнерго""";1435028701;10000
YNDX;Yandex clA;PLLC Yandex N.V. class A shs;Иностранные акции;NL0009805522;;1;0,01;EUR;TQBR;Т+: Акции и ДР - безадрес.;04.06.2014;Публичная Компания с ограниченной ответственностью Яндекс Н.В. (Public Limited Liability Company Yandex N.V.);10034514;1
YRSB;ТНСэнЯр;ТНС энерго Ярославль ПАО ао;Акции обыкновенные;RU000A0D8760;1-01-50099-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;29.08.2005;"Публичное акционерное общество ""ТНС энерго Ярославль""";7606052264;10
YRSBP;ТНСэнЯр-п;ТНС энерго Ярославль ПАО ап;Акции привилегированные;RU000A0D88B3;2-01-50099-A;3;1;RUB;TQBR;Т+: Акции и ДР - безадрес.;29.08.2005;"Публичное акционерное общество ""ТНС энерго Ярославль""";7606052264;10
ZILL;ЗИЛ ао;Завод им. И.А.Лихачева ПАО ао;Акции обыкновенные;RU0009086193;1-02-00036-A;3;1000;RUB;TQBR;Т+: Акции и ДР - безадрес.;09.12.2011;"Публичное акционерное общество ""Завод имени И.А. Лихачева""";7725043886;1
ZVEZ;ЗВЕЗДА ао;ЗВЕЗДА ПАО ао;Акции обыкновенные;RU0009091300;1-01-00169-D;3;0,1;RUB;TQBR;Т+: Акции и ДР - безадрес.;16.12.2011;"Публичное акционерное общество ""ЗВЕЗДА""";7811038760;1000
